Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
44942f8c-7966-4efd-bec9-7be1185d477d,"2020-05-31, 08:25:55 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,46.99.106.122
604c579b-b4a0-4236-a3a0-651c0c7f7bf8,"2020-05-31, 08:25:55 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:568283627415:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrailudacityn""}]",,us-east-1,,46.99.106.122
975be5ff-cf61-41a0-8c41-923a928d7d7f,"2020-05-31, 08:25:55 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:568283627415:trail/Udacity_Trail""}]",,us-east-1,,46.99.106.122
74fc87d6-0b59-4226-bd55-42b7bf270a91,"2020-05-31, 08:25:54 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrailudacityn""}]",,us-east-1,,46.99.106.122
8c3881a4-e694-4557-bc5c-7b46b7ad2f40,"2020-05-31, 08:25:54 PM",CloudTrail,PutBucketPolicy,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""cloudtrailudacityn""}]",,us-east-1,,46.99.106.122
739a14e7-7a76-4e69-b1fe-a011adb1d35c,"2020-05-31, 08:21:16 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.99.3.58
bc4a2807-dbdb-4197-8f65-003cd462d6f3,"2020-05-31, 08:20:37 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,46.99.106.122
d14f93fd-fcac-471d-a6b1-67fd2393a21d,"2020-05-31, 08:19:23 PM",Accountant,ConsoleLogin,,,,us-east-1,,46.99.106.122
5725848c-4d4b-4e53-ac22-455bcdf7aaa3,"2020-05-31, 08:19:15 PM",root,UpdateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.99.3.58
f047a171-660d-4b46-a10b-6fb857587bfb,"2020-05-31, 08:18:42 PM",Accountant,ConsoleLogin,,,,us-east-1,,46.99.106.122
9eff1093-3539-4c3f-849b-f7781fc72d90,"2020-05-31, 08:18:33 PM",Accountant,ConsoleLogin,,,,us-east-1,,46.99.106.122
6188bb1c-1967-408b-818f-c406fa1b1e06,"2020-05-31, 08:18:08 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.99.106.122
e13e3b58-7e1f-4bff-8fff-5f9714906db4,"2020-05-31, 08:16:27 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.99.3.58
f5eef911-0d11-403a-befc-d7ba4267d637,"2020-05-31, 08:16:04 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,46.99.3.58
4558d30b-e55a-43e0-8926-fe3473b46e1c,"2020-05-31, 08:12:22 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.99.3.58
978cfcd4-e713-4c0e-bb9b-4a8366085339,"2020-05-31, 08:12:21 PM",root,CreateAccessKey,IAM AccessKey and 1 more,"[{""resourceType"":""AWS::IAM::AccessKey"",""resourceName"":""AKIAYIUCX76L52DOYVC7""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""Accountant""}]",,us-east-1,,46.99.3.58
